name mu shrinkage alpha iteration number_of_features s RMSE ROC time
triggered 0.001 0.1 0.02 200 170 1 0.185427 0.990996 1240
notTriggered 0.001 0.1 0.02 200 1203 1 0.182356 0.9922 2303
triggered 0.001 0.1 0.02 200 168 20 0.205835 0.985936 1265
notTriggered 0.001 0.1 0.02 200 1209 20 0.185478 0.990864 2319
triggered 0.001 0.1 0.02 200 176 50 0.18935 0.990968 1328
notTriggered 0.001 0.1 0.02 200 1195 50 0.18383 0.992124 2335
triggered 0.001 0.1 0.02 200 190 100 0.183357 0.989928 1397
notTriggered 0.001 0.1 0.02 200 1163 100 0.183485 0.991524 2279
triggered 0.002 0.1 0.02 200 122 1 0.191857 0.987484 1208
notTriggered 0.002 0.1 0.02 200 836 1 0.184449 0.992072 2305
triggered 0.002 0.1 0.02 200 126 20 0.19366 0.989848 1288
notTriggered 0.002 0.1 0.02 200 834 20 0.186629 0.99246 2344
triggered 0.002 0.1 0.02 200 126 50 0.190845 0.991052 1282
notTriggered 0.002 0.1 0.02 200 853 50 0.187015 0.990988 2309
triggered 0.002 0.1 0.02 200 146 100 0.17576 0.993132 1395
notTriggered 0.002 0.1 0.02 200 836 100 0.187685 0.991388 2311
triggered 0.004 0.1 0.02 200 71 1 0.201979 0.987412 1288
notTriggered 0.004 0.1 0.02 200 474 1 0.191307 0.989472 2278
